# SingleVariable
# List of ERA5 Single-Level Variables available in the CDS
# (1) ERA5 ID, (2) Full Name,(3) Units, (4) Analysis, (5) Forecast, (6) Invariant, (7) CDS Name, (8) NetCDF ID, (9) MARS ID, (10) DKRZ ID

tsn,Temperature of snow layer,K,TRUE,TRUE,FALSE,temperature_of_snow_layer,tsn,238,238
tsr,Top net solar radiation,J m**-2,FALSE,TRUE,FALSE,top_net_solar_radiation,tsr,178,178
tsrc,"Top net solar radiation, clear sky",J m**-2,FALSE,TRUE,FALSE,top_net_solar_radiation_clear_sky,tsrc,208,208
ttr,Top net thermal radiation,J m**-2,FALSE,TRUE,FALSE,top_net_thermal_radiation,ttr,179,179
ttrc,"Top net thermal radiation, clear sky",J m**-2,FALSE,TRUE,FALSE,top_net_thermal_radiation_clear_sky,ttrc,209,209
tvh,Type of high vegetation,~,TRUE,FALSE,TRUE,type_of_high_vegetation,tvh,30,30
tvl,Type of low vegetation,~,TRUE,FALSE,TRUE,type_of_low_vegetation,tvl,29,29
u10,10 metre U wind component,m s**-1,TRUE,TRUE,FALSE,10m_u_component_of_wind,u10,165,0
u100,100 metre U wind component,m s**-1,TRUE,TRUE,FALSE,100m_u_component_of_wind,u100,228246,502
u10n,Neutral wind at 10 m u-component,m s**-1,TRUE,TRUE,FALSE,10m_u_component_of_neutral_wind,u10n,228131,165
ust,U-component stokes drift,m s**-1,TRUE,TRUE,FALSE,u_component_stokes_drift,ust,140215,0
uvb,Downward UV radiation at the surface,J m**-2,FALSE,TRUE,FALSE,downward_uv_radiation_at_the_surface,uvb,57,57
v10,10 metre V wind component,m s**-1,TRUE,TRUE,FALSE,10m_v_component_of_wind,v10,166,0
v100,100 metre V wind component,m s**-1,TRUE,TRUE,FALSE,100m_v_component_of_wind,v100,228247,503
v10n,Neutral wind at 10 m v-component,m s**-1,TRUE,TRUE,FALSE,10m_v_component_of_neutral_wind,v10n,228132,166
viec,Vertical integral of energy conversion,W m**-2,TRUE,TRUE,FALSE,vertical_integral_of_energy_conversion,p64.162,162064,0
vigd,Vertical integral of divergence of geopotential flux,W m**-2,TRUE,TRUE,FALSE,vertical_integral_of_divergence_of_geopotential_flux,p85.162,162085,0
vige,Vertical integral of eastward geopotential flux,W m**-1,TRUE,TRUE,FALSE,vertical_integral_of_eastward_geopotential_flux,p73.162,162073,0
vign,Vertical integral of northward geopotential flux,W m**-1,TRUE,TRUE,FALSE,vertical_integral_of_northward_geopotential_flux,p74.162,162074,0
viiwd,Vertical integral of divergence of cloud frozen water flux,kg m**-2 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_divergence_of_cloud_frozen_water_flux,p80.162,162080,0
viiwe,Vertical integral of eastward cloud frozen water flux,kg m**-1 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_eastward_cloud_frozen_water_flux,p90.162,162090,0
viiwn,Vertical integral of northward cloud frozen water flux,kg m**-1 s**-1,TRUE,TRUE,FALSE,vertical_integral_of_northward_cloud_frozen_water_flux,p91.162,162091,0
vike,Vertical integral of kinetic energy,J m**-2,TRUE,TRUE,FALSE,vertical_integral_of_kinetic_energy,p59.162,162059,0
viked,Vertical integral of divergence of kinetic energy flux,W m**-2,TRUE,TRUE,FALSE,vertical_integral_of_divergence_of_kinetic_energy_flux,p82.162,162082,0
